unknown,unknown,2020-12-18 01:45:22.843623
unknown,unknown,2020-12-18 01:46:38.581790
unknown,unknown,2020-12-18 01:46:40.514966
unknown,unknown,2020-12-18 01:46:42.415662
unknown,unknown,2020-12-18 01:46:45.508437
unknown,unknown,2020-12-18 01:46:47.374005
unknown,unknown,2020-12-18 01:46:49.251653
unknown,unknown,2020-12-18 01:46:51.158958
unknown,unknown,2020-12-18 01:46:53.191101
unknown,unknown,2020-12-18 01:46:55.074337
unknown,unknown,2020-12-18 01:46:56.940318
unknown,unknown,2020-12-18 01:46:58.792274
unknown,unknown,2020-12-18 01:47:00.695651
unknown,unknown,2020-12-18 01:47:03.520536
unknown,unknown,2020-12-18 01:47:08.714508
unknown,unknown,2020-12-18 01:47:11.608186
unknown,unknown,2020-12-18 01:47:13.883421
unknown,neutral,2020-12-18 01:47:15.875864
unknown,unknown,2020-12-18 02:00:43.035411
unknown,unknown,2020-12-18 02:00:44.920646
unknown,happy,2020-12-18 02:00:47.068321
unknown,fear,2020-12-18 02:00:49.265950
unknown,neutral,2020-12-18 02:00:51.538084
unknown,happy,2020-12-18 02:00:53.738662
unknown,neutral,2020-12-18 02:00:56.042094
unknown,unknown,2020-12-18 02:00:58.060146
unknown,unknown,2020-12-18 02:00:59.939479
unknown,unknown,2020-12-18 02:01:01.831943
unknown,unknown,2020-12-18 02:01:03.733857
unknown,unknown,2020-12-18 02:01:05.612142
unknown,unknown,2020-12-18 02:01:07.587229
unknown,unknown,2020-12-18 02:01:10.341859
unknown,unknown,2020-12-18 02:01:12.558845
unknown,unknown,2020-12-18 02:01:14.908782
unknown,unknown,2020-12-18 02:01:17.443737
unknown,unknown,2020-12-18 02:01:19.496608
unknown,unknown,2020-12-18 02:01:21.425665
unknown,unknown,2020-12-18 02:01:23.699128
unknown,unknown,2020-12-18 02:01:25.871376
unknown,unknown,2020-12-18 02:01:28.324924
unknown,unknown,2020-12-18 02:01:30.847820
unknown,unknown,2020-12-18 02:01:33.006146
unknown,unknown,2020-12-18 02:01:35.144020
unknown,unknown,2020-12-18 02:01:37.048533
unknown,unknown,2020-12-18 02:01:38.993570
unknown,unknown,2020-12-18 02:01:41.088064
unknown,unknown,2020-12-18 02:01:43.160255
unknown,unknown,2020-12-18 02:01:45.113948
unknown,unknown,2020-12-18 02:01:47.464894
unknown,unknown,2020-12-18 02:01:49.863693
unknown,unknown,2020-12-18 02:01:52.132330
unknown,unknown,2020-12-18 02:01:54.415112
unknown,unknown,2020-12-18 02:01:56.412601
unknown,unknown,2020-12-18 02:01:58.752396
unknown,unknown,2020-12-18 02:02:01.065836
unknown,unknown,2020-12-18 02:02:03.354002
unknown,unknown,2020-12-18 02:02:05.876995
unknown,unknown,2020-12-18 02:02:07.992859
unknown,unknown,2020-12-18 02:02:10.259381
unknown,unknown,2020-12-18 02:02:12.422530
unknown,unknown,2020-12-18 02:02:14.491754
unknown,unknown,2020-12-18 02:02:16.439711
unknown,happy,2020-12-18 02:02:18.502171
unknown,unknown,2020-12-18 02:02:20.454774
unknown,happy,2020-12-18 02:02:22.518140
unknown,unknown,2020-12-18 02:02:24.577750
unknown,unknown,2020-12-18 02:02:26.585158
unknown,happy,2020-12-18 02:02:28.416286
unknown,unknown,2020-12-18 02:02:30.650459
unknown,happy,2020-12-18 02:02:32.828991
unknown,happy,2020-12-18 02:02:36.373029
unknown,happy,2020-12-18 02:02:38.631806
unknown,unknown,2020-12-18 02:14:30.986130
unknown,unknown,2020-12-18 02:14:32.949478
unknown,unknown,2020-12-18 02:14:35.888597
unknown,unknown,2020-12-18 02:14:37.999030
unknown,unknown,2020-12-18 02:14:40.177608
unknown,unknown,2020-12-18 02:14:43.012857
unknown,unknown,2020-12-18 02:14:45.725688
unknown,unknown,2020-12-18 02:14:48.703637
unknown,unknown,2020-12-18 02:14:51.604598
unknown,unknown,2020-12-18 02:14:54.361458
unknown,unknown,2020-12-18 02:14:57.323210
unknown,unknown,2020-12-18 02:15:00.906266
unknown,unknown,2020-12-18 02:31:15.348063
unknown,unknown,2020-12-18 02:31:17.414937
unknown,unknown,2020-12-18 02:31:19.384266
unknown,unknown,2020-12-18 02:31:21.259522
unknown,unknown,2020-12-18 02:31:23.155228
unknown,unknown,2020-12-18 02:31:25.053401
unknown,unknown,2020-12-18 02:31:26.940475
unknown,unknown,2020-12-18 02:31:28.839134
unknown,unknown,2020-12-18 02:31:32.661631
unknown,unknown,2020-12-18 02:31:34.554533
unknown,unknown,2020-12-18 02:31:36.451817
unknown,unknown,2020-12-18 02:31:38.340805
unknown,unknown,2020-12-18 02:31:40.223967
unknown,unknown,2020-12-18 02:31:42.135551
unknown,unknown,2020-12-18 02:31:44.024477
unknown,unknown,2020-12-18 02:31:45.925248
unknown,unknown,2020-12-18 02:36:49.970134
